drugname,pt,a,b,c,d,PRR,ROR,ROR_CI_Lower,ROR_CI_Upper,Chi_Square,Chi2p_value,Fisherp_value,signal_status
CIMZIA,ECZEMA,6,5438.00,750.00,384187.00,0.57,0.57,0.25,1.26,1.99,0.16,0.21,no signal detected
ORENCIA,PRURITUS,9,2219.00,2767.00,385386.00,0.57,0.56,0.29,1.09,2.99,0.08,0.10,no signal detected
TYVASO,OFF LABEL USE,8,489.00,10985.00,378899.00,0.57,0.56,0.28,1.14,2.65,0.10,0.13,no signal detected
ORSERDU,PRODUCT DOSE OMISSION ISSUE,11,1315.00,5684.00,383371.00,0.57,0.56,0.31,1.02,3.66,0.06,0.06,no signal detected
MOUNJARO,TREMOR,4,5027.00,543.00,384807.00,0.56,0.56,0.21,1.51,1.34,0.25,0.34,no signal detected
CIMZIA,FEELING ABNORMAL,7,5437.00,877.00,384060.00,0.56,0.56,0.27,1.19,2.34,0.13,0.15,no signal detected
PREDNISONE,RASH,5,1087.00,3151.00,386138.00,0.57,0.56,0.23,1.36,1.68,0.20,0.24,no signal detected
ZEPBOUND,BACK PAIN,3,2260.00,912.00,387206.00,0.56,0.56,0.18,1.75,1.01,0.32,0.51,no signal detected
DUPIXENT,THERAPEUTIC PRODUCT EFFECT DECREASED,17,23377.00,473.00,366514.00,0.56,0.56,0.35,0.91,5.54,0.02,0.02,no signal detected
VYVGART,PNEUMONIA,3,820.00,2513.00,387045.00,0.57,0.56,0.18,1.75,1.01,0.31,0.51,no signal detected
LONSURF,DRUG INEFFECTIVE,4,214.00,12541.00,377622.00,0.57,0.56,0.21,1.51,1.33,0.25,0.33,no signal detected
ACETAMINOPHEN,ASTHENIA,3,1411.00,1466.00,387501.00,0.56,0.56,0.18,1.75,1.02,0.31,0.51,no signal detected
SKYRIZI,JOINT SWELLING,4,4147.00,662.00,385568.00,0.56,0.56,0.21,1.50,1.36,0.24,0.34,no signal detected
FULVESTRANT,DRUG INEFFECTIVE,5,268.00,12540.00,377568.00,0.57,0.56,0.23,1.36,1.68,0.20,0.23,no signal detected
BUDESONIDE,OFF LABEL USE,4,246.00,10989.00,379142.00,0.57,0.56,0.21,1.51,1.35,0.25,0.34,no signal detected
IBRANCE,MYELOSUPPRESSION,3,2092.00,990.00,387296.00,0.56,0.56,0.18,1.74,1.03,0.31,0.51,no signal detected
SERTRALINE,NAUSEA,3,652.00,3173.00,386553.00,0.56,0.56,0.18,1.74,1.03,0.31,0.51,no signal detected
TREMFYA,FALL,3,1332.00,1557.00,387489.00,0.56,0.56,0.18,1.74,1.03,0.31,0.51,no signal detected
DUPIXENT,OCCUPATIONAL EXPOSURE TO PRODUCT,4,23390.00,112.00,366875.00,0.56,0.56,0.21,1.52,1.33,0.25,0.33,no signal detected
XELJANZ XR,THERAPY INTERRUPTED,4,2356.00,1173.00,386848.00,0.56,0.56,0.21,1.50,1.38,0.24,0.34,no signal detected
DEXAMETHASONE,NAUSEA,5,1088.00,3171.00,386117.00,0.56,0.56,0.23,1.35,1.72,0.19,0.24,no signal detected
SKYRIZI,ANXIETY,5,4146.00,831.00,385399.00,0.56,0.56,0.23,1.35,1.72,0.19,0.24,no signal detected
VECTIBIX,DEATH,3,186.00,10954.00,379238.00,0.57,0.56,0.18,1.75,1.03,0.31,0.50,no signal detected
ETANERCEPT,DRUG INEFFECTIVE,4,216.00,12541.00,377620.00,0.57,0.56,0.21,1.50,1.38,0.24,0.34,no signal detected
SKYRIZI,HYPOTENSION,5,4146.00,834.00,385396.00,0.56,0.56,0.23,1.34,1.75,0.19,0.24,no signal detected
DUPIXENT,HIP FRACTURE,7,23387.00,197.00,366790.00,0.56,0.56,0.26,1.18,2.38,0.12,0.14,no signal detected
LENALIDOMIDE,URTICARIA,4,2856.00,972.00,386549.00,0.56,0.56,0.21,1.49,1.40,0.24,0.34,no signal detected
XARELTO,FATIGUE,4,650.00,4262.00,385465.00,0.56,0.56,0.21,1.49,1.40,0.24,0.34,no signal detected
EPKINLY,OFF LABEL USE,3,186.00,10990.00,379202.00,0.56,0.56,0.18,1.74,1.04,0.31,0.50,no signal detected
RITUXIMAB,CEREBROVASCULAR ACCIDENT,3,1837.00,1137.00,387404.00,0.56,0.56,0.18,1.73,1.06,0.30,0.51,no signal detected
DUPIXENT,GAIT DISTURBANCE,23,23371.00,648.00,366339.00,0.56,0.56,0.37,0.84,7.85,0.01,0.00,no signal detected
METHOTREXATE SODIUM,HEADACHE,4,1004.00,2770.00,386603.00,0.56,0.56,0.21,1.49,1.41,0.24,0.34,no signal detected
STELARA,PRURITUS,8,2005.00,2768.00,385600.00,0.56,0.56,0.28,1.11,2.82,0.09,0.11,no signal detected
SPRAVATO,WRONG TECHNIQUE IN PRODUCT USAGE PROCESS,3,959.00,2180.00,387239.00,0.56,0.56,0.18,1.73,1.06,0.30,0.39,no signal detected
KEYTRUDA,ABDOMINAL PAIN UPPER,3,2522.00,829.00,387027.00,0.56,0.56,0.18,1.73,1.06,0.30,0.39,no signal detected
GENOTROPIN,DRUG INTOLERANCE,3,3394.00,615.00,386369.00,0.56,0.56,0.18,1.73,1.06,0.30,0.39,no signal detected
VEDOLIZUMAB,NAUSEA,21,4587.00,3155.00,382618.00,0.56,0.56,0.36,0.85,7.40,0.01,0.00,no signal detected
ELIQUIS,THROMBOCYTOPENIA,3,2998.00,697.00,386683.00,0.56,0.56,0.18,1.73,1.06,0.30,0.39,no signal detected
DUPIXENT,CATARACT,21,23373.00,593.00,366394.00,0.56,0.56,0.36,0.86,7.22,0.01,0.00,no signal detected
REVLIMID,CONFUSIONAL STATE,4,5300.00,523.00,384554.00,0.56,0.55,0.21,1.48,1.42,0.23,0.34,no signal detected
RINVOQ,INSOMNIA,5,3995.00,870.00,385511.00,0.56,0.55,0.23,1.34,1.78,0.18,0.24,no signal detected
NEUPRO,OFF LABEL USE,4,249.00,10989.00,379139.00,0.56,0.55,0.21,1.49,1.41,0.23,0.34,no signal detected
TEDUGLUTIDE,FATIGUE,6,979.00,4260.00,385136.00,0.56,0.55,0.25,1.24,2.14,0.14,0.17,no signal detected
ORENITRAM,DEATH,4,250.00,10953.00,379174.00,0.56,0.55,0.21,1.49,1.41,0.23,0.34,no signal detected
CREON,OFF LABEL USE,7,436.00,10986.00,378952.00,0.56,0.55,0.26,1.17,2.48,0.12,0.15,no signal detected
HUMIRA,PRODUCT DISPENSING ERROR,3,5061.00,412.00,384905.00,0.55,0.55,0.18,1.72,1.07,0.30,0.39,no signal detected
KESIMPTA,CEREBROVASCULAR ACCIDENT,3,1846.00,1137.00,387395.00,0.55,0.55,0.18,1.72,1.07,0.30,0.39,no signal detected
TREMFYA,RASH,6,1329.00,3150.00,385896.00,0.56,0.55,0.25,1.23,2.15,0.14,0.17,no signal detected
CIMZIA,INCORRECT DOSE ADMINISTERED,24,5420.00,3059.00,381878.00,0.55,0.55,0.37,0.83,8.58,0.00,0.00,no signal detected
RINVOQ,CONFUSIONAL STATE,3,3997.00,524.00,385857.00,0.55,0.55,0.18,1.72,1.08,0.30,0.39,no signal detected
DUPIXENT,BLOOD PRESSURE ABNORMAL,5,23389.00,142.00,366845.00,0.55,0.55,0.23,1.35,1.75,0.19,0.22,no signal detected
BEVACIZUMAB,PRURITUS,3,758.00,2773.00,386847.00,0.55,0.55,0.18,1.72,1.08,0.30,0.39,no signal detected
KEYTRUDA,DYSPNOEA,9,2516.00,2499.00,385357.00,0.55,0.55,0.29,1.06,3.26,0.07,0.08,no signal detected
VYNDAMAX,FATIGUE,4,656.00,4262.00,385459.00,0.55,0.55,0.21,1.47,1.45,0.23,0.34,no signal detected
REVLIMID,PANCYTOPENIA,3,5301.00,395.00,384682.00,0.55,0.55,0.18,1.72,1.09,0.30,0.39,no signal detected
TISLELIZUMAB,DIARRHOEA,3,561.00,3746.00,386071.00,0.55,0.55,0.18,1.71,1.09,0.30,0.39,no signal detected
HUMIRA,ACNE,3,5061.00,414.00,384903.00,0.55,0.55,0.18,1.72,1.09,0.30,0.39,no signal detected
ENTRESTO,DIARRHOEA,4,748.00,3745.00,385884.00,0.55,0.55,0.21,1.47,1.45,0.23,0.34,no signal detected
INFLECTRA,CONSTIPATION,4,2454.00,1145.00,386778.00,0.55,0.55,0.21,1.47,1.46,0.23,0.34,no signal detected
HUMIRA,CARDIAC ARREST,3,5061.00,415.00,384902.00,0.55,0.55,0.18,1.71,1.10,0.29,0.39,no signal detected
STELARA,RASH,9,2004.00,3147.00,385221.00,0.55,0.55,0.29,1.06,3.29,0.07,0.08,no signal detected
REPATHA,ANAPHYLACTIC SHOCK,4,9178.00,302.00,380897.00,0.55,0.55,0.20,1.47,1.46,0.23,0.34,no signal detected
ABRILADA,DEATH,5,315.00,10952.00,379109.00,0.56,0.55,0.23,1.33,1.82,0.18,0.23,no signal detected
CIMZIA,ANAPHYLACTIC REACTION,5,5439.00,643.00,384294.00,0.55,0.55,0.23,1.33,1.83,0.18,0.24,no signal detected
KESIMPTA,CONSTIPATION,3,1846.00,1146.00,387386.00,0.55,0.55,0.18,1.71,1.10,0.29,0.39,no signal detected
RITUXIMAB,SEIZURE,3,1837.00,1152.00,387389.00,0.55,0.55,0.18,1.71,1.11,0.29,0.39,no signal detected
METHOTREXATE,FATIGUE,13,2138.00,4253.00,383977.00,0.55,0.55,0.32,0.95,4.77,0.03,0.03,no signal detected
ADEMPAS,PRODUCT DOSE OMISSION ISSUE,3,369.00,5692.00,384317.00,0.55,0.55,0.18,1.71,1.10,0.29,0.39,no signal detected
XYREM,PRODUCT DOSE OMISSION ISSUE,3,369.00,5692.00,384317.00,0.55,0.55,0.18,1.71,1.10,0.29,0.39,no signal detected
RINVOQ,FEELING ABNORMAL,5,3995.00,879.00,385502.00,0.55,0.55,0.23,1.32,1.84,0.17,0.24,no signal detected
DUPIXENT,NEPHROLITHIASIS,14,23380.00,400.00,366587.00,0.55,0.55,0.32,0.94,5.02,0.03,0.02,no signal detected
PAXLOVID,CONDITION AGGRAVATED,4,1192.00,2368.00,386817.00,0.55,0.55,0.21,1.46,1.48,0.22,0.35,no signal detected
LENALIDOMIDE,NEOPLASM MALIGNANT,3,2857.00,741.00,386780.00,0.55,0.55,0.18,1.70,1.11,0.29,0.39,no signal detected
INFLECTRA,SEIZURE,4,2454.00,1151.00,386772.00,0.55,0.55,0.21,1.46,1.49,0.22,0.35,no signal detected
REVLIMID,HOT FLUSH,4,5300.00,530.00,384547.00,0.55,0.55,0.20,1.46,1.48,0.22,0.34,no signal detected
OCREVUS,DIABETES MELLITUS,3,5224.00,404.00,384750.00,0.55,0.55,0.18,1.70,1.12,0.29,0.39,no signal detected
RINVOQ,MIGRAINE,3,3997.00,530.00,385851.00,0.55,0.55,0.18,1.70,1.12,0.29,0.39,no signal detected
DUPIXENT,INJURY,4,23390.00,115.00,366872.00,0.55,0.55,0.20,1.48,1.46,0.23,0.33,no signal detected
DUPIXENT,FATIGUE,144,23250.00,4122.00,362865.00,0.55,0.55,0.46,0.64,52.44,0.00,0.00,no signal detected
ORENCIA,ADVERSE DRUG REACTION,5,2223.00,1595.00,386558.00,0.55,0.55,0.23,1.31,1.89,0.17,0.24,no signal detected
METHYLPREDNISOLONE,OFF LABEL USE,3,190.00,10990.00,379198.00,0.55,0.54,0.17,1.70,1.12,0.29,0.38,no signal detected
BEVACIZUMAB,DIARRHOEA,4,757.00,3745.00,385875.00,0.55,0.54,0.20,1.46,1.52,0.22,0.27,no signal detected
RINVOQ,FATIGUE,24,3976.00,4242.00,382139.00,0.55,0.54,0.36,0.81,9.08,0.00,0.00,no signal detected
METHOTREXATE,ILLNESS,6,2145.00,1987.00,386243.00,0.55,0.54,0.24,1.21,2.28,0.13,0.17,no signal detected
CIMZIA,THERAPEUTIC RESPONSE DECREASED,4,5440.00,520.00,384417.00,0.54,0.54,0.20,1.45,1.52,0.22,0.26,no signal detected
MOUNJARO,MYALGIA,5,5026.00,705.00,384645.00,0.54,0.54,0.23,1.31,1.91,0.17,0.24,no signal detected
INFLECTRA,INSOMNIA,3,2455.00,872.00,387051.00,0.54,0.54,0.17,1.69,1.15,0.28,0.39,no signal detected
XELJANZ XR,SOMNOLENCE,3,2357.00,909.00,387112.00,0.54,0.54,0.17,1.69,1.16,0.28,0.39,no signal detected
TRULICITY,FATIGUE,9,1501.00,4257.00,384614.00,0.54,0.54,0.28,1.04,3.46,0.06,0.06,no signal detected
MOUNJARO,ANGIOEDEMA,3,5028.00,424.00,384926.00,0.54,0.54,0.17,1.69,1.15,0.28,0.39,no signal detected
NUCALA,VOMITING,3,1217.00,1763.00,387398.00,0.54,0.54,0.17,1.68,1.16,0.28,0.39,no signal detected
METHOTREXATE SODIUM,FATIGUE,6,1002.00,4260.00,385113.00,0.54,0.54,0.24,1.21,2.31,0.13,0.17,no signal detected
EMGALITY,NO ADVERSE EVENT,3,735.00,2919.00,386724.00,0.54,0.54,0.17,1.68,1.16,0.28,0.39,no signal detected
ELIGARD,CEREBROVASCULAR ACCIDENT,5,3147.00,1135.00,386094.00,0.54,0.54,0.22,1.30,1.94,0.16,0.24,no signal detected
ADALIMUMAB,FALL,3,1382.00,1557.00,387439.00,0.54,0.54,0.17,1.68,1.17,0.28,0.39,no signal detected
FASENRA,INJECTION SITE PAIN,3,647.00,3318.00,386413.00,0.54,0.54,0.17,1.68,1.17,0.28,0.39,no signal detected
HUMIRA,MYALGIA,5,5059.00,705.00,384612.00,0.54,0.54,0.22,1.30,1.95,0.16,0.19,no signal detected
LANTUS SOLOSTAR,DRUG INEFFECTIVE,21,1174.00,12524.00,376662.00,0.55,0.54,0.35,0.83,8.17,0.00,0.00,no signal detected
ELIGARD,PNEUMONIA,11,3141.00,2505.00,384724.00,0.54,0.54,0.30,0.97,4.33,0.04,0.03,no signal detected
LETROZOLE,DIARRHOEA,3,575.00,3746.00,386057.00,0.54,0.54,0.17,1.67,1.19,0.28,0.39,no signal detected
TRAMADOL,DRUG INEFFECTIVE,6,336.00,12539.00,377500.00,0.55,0.54,0.24,1.21,2.34,0.13,0.16,no signal detected
NUPLAZID,DISEASE PROGRESSION,4,2146.00,1343.00,386888.00,0.54,0.54,0.20,1.43,1.59,0.21,0.27,no signal detected
VEDOLIZUMAB,MUSCULAR WEAKNESS,3,4605.00,468.00,385305.00,0.54,0.54,0.17,1.67,1.19,0.27,0.39,no signal detected
OCREVUS,THERAPY NON-RESPONDER,4,5223.00,550.00,384604.00,0.54,0.54,0.20,1.43,1.60,0.21,0.27,no signal detected
DUPIXENT,BLOOD CHOLESTEROL INCREASED,7,23387.00,205.00,366782.00,0.54,0.54,0.25,1.14,2.73,0.10,0.11,no signal detected
IMBRUVICA,DYSPNOEA,4,1154.00,2504.00,386719.00,0.54,0.54,0.20,1.43,1.61,0.21,0.27,no signal detected
OPDIVO,PAIN,4,1078.00,2680.00,386619.00,0.54,0.54,0.20,1.43,1.61,0.21,0.27,no signal detected
REMODULIN,INCORRECT DOSE ADMINISTERED,3,704.00,3080.00,386594.00,0.54,0.53,0.17,1.66,1.21,0.27,0.39,no signal detected
TEDUGLUTIDE,DEATH,15,970.00,10942.00,378454.00,0.54,0.53,0.32,0.89,5.97,0.01,0.01,no signal detected
KEYTRUDA,PERIPHERAL SWELLING,3,2522.00,861.00,386995.00,0.54,0.53,0.17,1.66,1.21,0.27,0.39,no signal detected
TREMFYA,HOSPITALISATION,5,1330.00,2717.00,386329.00,0.54,0.53,0.22,1.29,2.02,0.16,0.19,no signal detected
HUMAN IMMUNOGLOBULIN G,ARTHRALGIA,6,1688.00,2569.00,386118.00,0.54,0.53,0.24,1.19,2.42,0.12,0.13,no signal detected
AZATHIOPRINE,OFF LABEL USE,3,194.00,10990.00,379194.00,0.54,0.53,0.17,1.67,1.20,0.27,0.39,no signal detected
TACROLIMUS,MALAISE,3,1254.00,1738.00,387386.00,0.53,0.53,0.17,1.66,1.22,0.27,0.39,no signal detected
KEYTRUDA,ABDOMINAL PAIN,3,2522.00,864.00,386992.00,0.53,0.53,0.17,1.66,1.22,0.27,0.39,no signal detected
OCREVUS,DIARRHOEA,27,5200.00,3722.00,381432.00,0.53,0.53,0.36,0.78,10.97,0.00,0.00,no signal detected
IMFINZI,FATIGUE,4,680.00,4262.00,385435.00,0.53,0.53,0.20,1.42,1.64,0.20,0.27,no signal detected
DUPIXENT,BONE PAIN,8,23386.00,236.00,366751.00,0.53,0.53,0.26,1.08,3.19,0.07,0.08,no signal detected
REPATHA,THERAPY NON-RESPONDER,7,9175.00,547.00,380652.00,0.53,0.53,0.25,1.12,2.86,0.09,0.09,no signal detected
PHESGO,PNEUMONIA,4,1160.00,2512.00,386705.00,0.53,0.53,0.20,1.42,1.65,0.20,0.27,no signal detected
HUMIRA,PYREXIA,10,5054.00,1432.00,383885.00,0.53,0.53,0.28,0.99,4.12,0.04,0.05,no signal detected
XELJANZ XR,DRY SKIN,3,2357.00,929.00,387092.00,0.53,0.53,0.17,1.65,1.24,0.27,0.39,no signal detected
ACTEMRA,DRUG INTERACTION,3,2834.00,773.00,386771.00,0.53,0.53,0.17,1.65,1.25,0.26,0.39,no signal detected
HUMIRA,NEEDLE ISSUE,3,5061.00,431.00,384886.00,0.53,0.53,0.17,1.65,1.25,0.26,0.39,no signal detected
DUPIXENT,FALL,51,23343.00,1509.00,365478.00,0.53,0.53,0.40,0.70,20.62,0.00,0.00,no signal detected
POMALYST,URTICARIA,3,2257.00,973.00,387148.00,0.53,0.53,0.17,1.64,1.25,0.26,0.39,no signal detected
MOUNJARO,CARDIAC DISORDER,4,5027.00,579.00,384771.00,0.53,0.53,0.20,1.41,1.67,0.20,0.27,no signal detected
HUMIRA,INJECTION SITE PAIN,23,5041.00,3298.00,382019.00,0.53,0.53,0.35,0.80,9.56,0.00,0.00,no signal detected
ELIQUIS,ASTHENIA,6,2995.00,1463.00,385917.00,0.53,0.53,0.24,1.18,2.51,0.11,0.13,no signal detected
NEULASTA,INJECTION SITE PAIN,5,1102.00,3316.00,385958.00,0.53,0.53,0.22,1.27,2.10,0.15,0.19,no signal detected
TRULICITY,NO ADVERSE EVENT,6,1504.00,2916.00,385955.00,0.53,0.53,0.24,1.18,2.52,0.11,0.13,no signal detected
RINVOQ,ASTHENIA,8,3992.00,1461.00,384920.00,0.53,0.53,0.26,1.06,3.35,0.07,0.07,no signal detected
MOUNJARO,HEPATIC ENZYME INCREASED,3,5028.00,435.00,384915.00,0.53,0.53,0.17,1.64,1.26,0.26,0.39,no signal detected
EPIDIOLEX,FATIGUE,3,514.00,4263.00,385601.00,0.53,0.53,0.17,1.64,1.26,0.26,0.39,no signal detected
KEYTRUDA,INSOMNIA,3,2522.00,872.00,386984.00,0.53,0.53,0.17,1.64,1.26,0.26,0.39,no signal detected
DUPIXENT,FLUSHING,12,23382.00,357.00,366630.00,0.53,0.53,0.30,0.94,4.92,0.03,0.03,no signal detected
VEDOLIZUMAB,CHEST PAIN,4,4604.00,635.00,385138.00,0.53,0.53,0.20,1.41,1.69,0.19,0.27,no signal detected
DUPIXENT,PNEUMONIA,82,23312.00,2434.00,364553.00,0.53,0.53,0.42,0.66,33.59,0.00,0.00,no signal detected
SKYRIZI,MYALGIA,4,4147.00,706.00,385524.00,0.53,0.53,0.20,1.41,1.69,0.19,0.27,no signal detected
NUPLAZID,HYPERTENSION,3,2147.00,1028.00,387203.00,0.53,0.53,0.17,1.64,1.27,0.26,0.39,no signal detected
TACROLIMUS,VOMITING,3,1254.00,1763.00,387361.00,0.53,0.53,0.17,1.63,1.28,0.26,0.39,no signal detected
COSENTYX,ASTHMA,3,2683.00,823.00,386872.00,0.53,0.53,0.17,1.63,1.28,0.26,0.39,no signal detected
XELJANZ,DEATH,19,1250.00,10938.00,378174.00,0.53,0.53,0.33,0.83,8.00,0.00,0.00,no signal detected
REVLIMID,HEADACHE,20,5284.00,2754.00,382323.00,0.53,0.53,0.34,0.82,8.48,0.00,0.00,no signal detected
LENALIDOMIDE,DRUG INTERACTION,3,2857.00,773.00,386748.00,0.53,0.53,0.17,1.63,1.28,0.26,0.39,no signal detected
SKYRIZI,ADVERSE DRUG REACTION,9,4142.00,1591.00,384639.00,0.53,0.53,0.27,1.01,3.83,0.05,0.05,no signal detected
RINVOQ,CARDIAC FAILURE,3,3997.00,552.00,385829.00,0.52,0.52,0.17,1.63,1.28,0.26,0.39,no signal detected
HUMIRA,HEPATIC ENZYME INCREASED,3,5061.00,435.00,384882.00,0.52,0.52,0.17,1.63,1.28,0.26,0.39,no signal detected
HUMIRA,CHEST DISCOMFORT,3,5061.00,435.00,384882.00,0.52,0.52,0.17,1.63,1.28,0.26,0.39,no signal detected
KEYTRUDA,ERYTHEMA,3,2522.00,878.00,386978.00,0.52,0.52,0.17,1.63,1.29,0.26,0.39,no signal detected
MOUNJARO,ASTHENIA,10,5021.00,1459.00,383891.00,0.52,0.52,0.28,0.98,4.28,0.04,0.04,no signal detected
KEYTRUDA,ASTHENIA,5,2520.00,1464.00,386392.00,0.52,0.52,0.22,1.26,2.15,0.14,0.19,no signal detected
VEDOLIZUMAB,VISION BLURRED,4,4604.00,639.00,385134.00,0.52,0.52,0.20,1.40,1.72,0.19,0.27,no signal detected
RINVOQ,HEADACHE,15,3985.00,2759.00,383622.00,0.53,0.52,0.31,0.87,6.45,0.01,0.01,no signal detected
ALPRAZOLAM,DEATH,4,265.00,10953.00,379159.00,0.53,0.52,0.19,1.40,1.72,0.19,0.26,no signal detected
AYVAKIT,PRODUCT DOSE OMISSION ISSUE,5,646.00,5690.00,384040.00,0.53,0.52,0.22,1.26,2.16,0.14,0.19,no signal detected
TACROLIMUS,CONDITION AGGRAVATED,4,1253.00,2368.00,386756.00,0.52,0.52,0.20,1.39,1.75,0.19,0.27,no signal detected
TECENTRIQ,DIARRHOEA,4,791.00,3745.00,385841.00,0.52,0.52,0.19,1.39,1.75,0.19,0.27,no signal detected
RITUXIMAB,PRODUCT USE IN UNAPPROVED INDICATION,7,1833.00,2828.00,385713.00,0.52,0.52,0.25,1.10,3.07,0.08,0.10,no signal detected
SKYRIZI,DYSPNOEA,14,4137.00,2494.00,383736.00,0.52,0.52,0.31,0.88,6.12,0.01,0.01,no signal detected
CIMZIA,TREMOR,4,5440.00,543.00,384394.00,0.52,0.52,0.19,1.39,1.75,0.19,0.27,no signal detected
METHOTREXATE,HEADACHE,8,2143.00,2766.00,385464.00,0.52,0.52,0.26,1.04,3.52,0.06,0.07,no signal detected
HUMAN IMMUNOGLOBULIN G\HYALURONIDASE RECOMBINANT HUMAN,DEATH,7,466.00,10950.00,378958.00,0.53,0.52,0.25,1.10,3.06,0.08,0.09,no signal detected
REMICADE,VOMITING,4,1691.00,1762.00,386924.00,0.52,0.52,0.19,1.39,1.77,0.18,0.27,no signal detected
HUMIRA,VOMITING,12,5052.00,1754.00,383563.00,0.52,0.52,0.29,0.92,5.29,0.02,0.02,no signal detected
JAKAFI,VOMITING,3,1270.00,1763.00,387345.00,0.52,0.52,0.17,1.61,1.33,0.25,0.40,no signal detected
SKYRIZI,NEUROPATHY PERIPHERAL,4,4147.00,717.00,385513.00,0.52,0.52,0.19,1.39,1.78,0.18,0.27,no signal detected
DUPIXENT,AMENORRHOEA,4,23390.00,121.00,366866.00,0.52,0.52,0.19,1.40,1.73,0.19,0.26,no signal detected
COSENTYX,DYSPNOEA,9,2677.00,2499.00,385196.00,0.52,0.52,0.27,1.00,4.00,0.05,0.05,no signal detected
TYRVAYA,OFF LABEL USE,5,333.00,10988.00,379055.00,0.53,0.52,0.21,1.25,2.21,0.14,0.18,no signal detected
GENOTROPIN,INCORRECT DOSE ADMINISTERED,14,3383.00,3069.00,383915.00,0.52,0.52,0.31,0.88,6.24,0.01,0.01,no signal detected
TECVAYLI,OFF LABEL USE,3,200.00,10990.00,379188.00,0.52,0.52,0.17,1.62,1.33,0.25,0.39,no signal detected
COSENTYX,HYPOTENSION,3,2683.00,836.00,386859.00,0.52,0.52,0.17,1.61,1.34,0.25,0.40,no signal detected
XELJANZ XR,NAUSEA,10,2350.00,3166.00,384855.00,0.52,0.52,0.28,0.96,4.47,0.03,0.04,no signal detected
DUPIXENT,UPPER LIMB FRACTURE,3,23391.00,91.00,366896.00,0.52,0.52,0.16,1.63,1.31,0.25,0.38,no signal detected
CISPLATIN,OFF LABEL USE,4,267.00,10989.00,379121.00,0.52,0.52,0.19,1.39,1.78,0.18,0.27,no signal detected
LANSOPRAZOLE,DEATH,3,201.00,10954.00,379223.00,0.52,0.52,0.17,1.62,1.34,0.25,0.39,no signal detected
CIMZIA,INTENTIONAL PRODUCT MISUSE,4,5440.00,547.00,384390.00,0.52,0.52,0.19,1.38,1.79,0.18,0.27,no signal detected
PROLIA,DEVICE DIFFICULT TO USE,4,1047.00,2860.00,386470.00,0.52,0.52,0.19,1.38,1.80,0.18,0.27,no signal detected
REPATHA,DIABETES MELLITUS,5,9177.00,402.00,380797.00,0.52,0.52,0.21,1.25,2.24,0.13,0.19,no signal detected
ACETAMINOPHEN,ADVERSE DRUG REACTION,3,1411.00,1597.00,387370.00,0.52,0.52,0.17,1.60,1.36,0.24,0.40,no signal detected
NUPLAZID,INFECTION,3,2147.00,1050.00,387181.00,0.52,0.52,0.17,1.60,1.36,0.24,0.40,no signal detected
LANSOPRAZOLE,OFF LABEL USE,3,201.00,10990.00,379187.00,0.52,0.51,0.16,1.61,1.35,0.25,0.39,no signal detected
MOUNJARO,BLOOD PRESSURE INCREASED,5,5026.00,743.00,384607.00,0.52,0.51,0.21,1.24,2.27,0.13,0.19,no signal detected
INSULIN GLARGINE,OFF LABEL USE,6,402.00,10987.00,378986.00,0.52,0.51,0.23,1.15,2.70,0.10,0.13,no signal detected
JAKAFI,CONDITION AGGRAVATED,4,1269.00,2368.00,386740.00,0.52,0.51,0.19,1.37,1.82,0.18,0.21,no signal detected
STELARA,WEIGHT DECREASED,3,2010.00,1123.00,387245.00,0.52,0.51,0.17,1.60,1.37,0.24,0.40,no signal detected
ULTOMIRIS,CEREBROVASCULAR ACCIDENT,3,1987.00,1137.00,387254.00,0.51,0.51,0.17,1.60,1.37,0.24,0.40,no signal detected
SERTRALINE,DRUG INEFFECTIVE,11,644.00,12534.00,377192.00,0.52,0.51,0.28,0.93,4.96,0.03,0.03,no signal detected
CIMZIA,NAUSEA,23,5421.00,3153.00,381784.00,0.52,0.51,0.34,0.77,10.46,0.00,0.00,no signal detected
ALBUTEROL SULFATE,NASOPHARYNGITIS,3,1863.00,1214.00,387301.00,0.51,0.51,0.17,1.60,1.38,0.24,0.40,no signal detected
STELARA,DIARRHOEA,10,2003.00,3739.00,384629.00,0.52,0.51,0.28,0.96,4.57,0.03,0.03,no signal detected
OCREVUS,SEIZURE,8,5219.00,1147.00,384007.00,0.51,0.51,0.26,1.03,3.66,0.06,0.05,no signal detected
MINOXIDIL,RASH,6,1432.00,3150.00,385793.00,0.52,0.51,0.23,1.15,2.75,0.10,0.10,no signal detected
ZEPBOUND,DRUG INEFFECTIVE,38,2225.00,12507.00,375611.00,0.52,0.51,0.37,0.71,17.23,0.00,0.00,no signal detected
ELIQUIS,HEADACHE,11,2990.00,2763.00,384617.00,0.51,0.51,0.28,0.93,5.07,0.02,0.02,no signal detected
ELIQUIS,PRURITUS,11,2990.00,2765.00,384615.00,0.51,0.51,0.28,0.93,5.09,0.02,0.02,no signal detected
SPRAVATO,CONDITION AGGRAVATED,3,959.00,2369.00,387050.00,0.51,0.51,0.16,1.59,1.40,0.24,0.30,no signal detected
DUPIXENT,JOINT SWELLING,21,23373.00,645.00,366342.00,0.51,0.51,0.33,0.79,9.55,0.00,0.00,no signal detected
DUPIXENT,SURGERY,21,23373.00,645.00,366342.00,0.51,0.51,0.33,0.79,9.55,0.00,0.00,no signal detected
